namelsad,sumlev,geocode,state,placefp,pop2020,hu2020
Macclesfield town,160,3739960,37,39960,413,221
McDonald town,160,3740140,37,40140,94,41
McFarlan town,160,3740240,37,40240,94,41
McLeansville CDP,160,3740460,37,40460,1113,466
Macon town,160,3740540,37,40540,110,54
Madison town,160,3740560,37,40560,2129,1131
Maggie Valley town,160,3740600,37,40600,1687,1709
Magnolia town,160,3740640,37,40640,831,389
Maiden town,160,3740660,37,40660,3736,1493
Mamers CDP,160,3740860,37,40860,814,350
Manns Harbor CDP,160,3740980,37,40980,790,472
Manteo town,160,3741060,37,41060,1600,1344
Marble CDP,160,3741220,37,41220,278,152
Marietta town,160,3741380,37,41380,111,53
Marion city,160,3741420,37,41420,7717,3142
Mar-Mac CDP,160,3741540,37,41540,3184,1506
Marshall town,160,3741580,37,41580,777,462
Marshallberg CDP,160,3741600,37,41600,341,277
Mars Hill town,160,3741620,37,41620,2007,725
Marshville town,160,3741640,37,41640,2522,952
Marvin village,160,3741720,37,41720,6358,1888
Matthews town,160,3741960,37,41960,29435,12156
Maury CDP,160,3742000,37,42000,1404,199
Maxton town,160,3742020,37,42020,2110,1061
Mayodan town,160,3742060,37,42060,2418,1330
Maysville town,160,3742100,37,42100,818,462
Mebane city,160,3742240,37,42240,17797,7736
Mesic town,160,3742480,37,42480,144,92
Micro town,160,3742620,37,42620,458,212
Middleburg town,160,3742640,37,42640,101,43
Middlesex town,160,3742700,37,42700,912,468
Midland town,160,3742760,37,42760,4684,1745
Midway town,160,3742860,37,42860,4742,2022
Millers Creek CDP,160,3743160,37,43160,1931,915
Millingport CDP,160,3743200,37,43200,588,252
Mills River town,160,3743260,37,43260,7078,3177
Milton town,160,3743300,37,43300,155,97
Milwaukee CDP,160,3743320,37,43320,157,95
Mineral Springs town,160,3743360,37,43360,3159,1166
Minnesott Beach town,160,3743440,37,43440,530,365
Mint Hill town,160,3743480,37,43480,26450,10302
Misenheimer village,160,3743580,37,43580,650,125
Mocksville town,160,3743720,37,43720,5900,2529
Momeyer town,160,3743860,37,43860,277,140
Moncure CDP,160,3743880,37,43880,780,347
Monroe city,160,3743920,37,43920,34562,12924
Montreat town,160,3744100,37,44100,901,618
Mooresboro town,160,3744160,37,44160,293,135
Mooresville town,160,3744220,37,44220,50193,20842
Moravian Falls CDP,160,3744280,37,44280,1712,835
Morehead City town,160,3744320,37,44320,9556,5940
Morganton city,160,3744400,37,44400,17474,7559
Morrisville town,160,3744520,37,44520,29630,11757
Morven town,160,3744560,37,44560,329,171
Mountain Home CDP,160,3744700,37,44700,3490,1538
Mountain View CDP,160,3744770,37,44770,3590,1455
Mount Airy city,160,3744800,37,44800,10676,5378
Mount Gilead town,160,3744900,37,44900,1171,501
