sumlev,geocode,namelsad,coname,state,county,placefp,pop2020,hu2020
155,3732980027,Hudson town,Caldwell County,37,27,32980,3780,1717
155,3733120119,Huntersville town,Mecklenburg County,37,119,33120,61376,23962
155,3733320023,Icard CDP,Burke County,37,23,33320,2452,1083
155,3733460031,Indian Beach town,Carteret County,37,31,33460,223,1689
155,3733560179,Indian Trail town,Union County,37,179,33560,39997,13712
155,3733640163,Ingold CDP,Sampson County,37,163,33640,416,180
155,3733820109,Iron Station CDP,Lincoln County,37,109,33820,825,341
155,3733940163,Ivanhoe CDP,Sampson County,37,163,33940,198,107
155,3733993179,JAARS CDP,Union County,37,179,33993,471,211
155,3734000131,Jackson town,Northampton County,37,131,34000,430,235
155,3734038107,Jackson Heights CDP,Lenoir County,37,107,34038,1071,474
155,3734160125,Jackson Springs CDP,Moore County,37,125,34160,154,70
155,3734200133,Jacksonville city,Onslow County,37,133,34200,72723,24004
155,3734260049,James City CDP,Craven County,37,49,34260,5291,2532
155,3734300081,Jamestown town,Guilford County,37,81,34300,3668,1739
155,3734320117,Jamesville town,Martin County,37,117,34320,424,227
155,3734440009,Jefferson town,Ashe County,37,9,34440,1622,782
155,3734840197,Jonesville town,Yadkin County,37,197,34840,2308,1132
155,3735200025,Kannapolis city,Cabarrus County,37,25,35200,42846,17683
155,3735200159,Kannapolis city,Rowan County,37,159,35200,10268,4280
155,3735340163,Keener CDP,Sampson County,37,163,35340,540,226
155,3735360015,Kelford town,Bertie County,37,15,35360,203,112
155,3735440017,Kelly CDP,Bladen County,37,17,35440,446,256
155,3735460061,Kenansville town,Duplin County,37,61,35460,770,367
155,3735540195,Kenly town,Wilson County,37,195,35540,198,85
155,3735540101,Kenly town,Johnston County,37,101,35540,1293,624
155,3735600081,Kernersville town,Guilford County,37,81,35600,502,246
155,3735600067,Kernersville town,Forsyth County,37,67,35600,25947,12317
155,3735720055,Kill Devil Hills town,Dare County,37,55,35720,7656,7020
155,3735760169,King city,Stokes County,37,169,35760,6606,2923
155,3735760067,King city,Forsyth County,37,67,35760,591,236
155,3735870129,Kings Grant CDP,New Hanover County,37,129,35870,8466,3705
155,3735880071,Kings Mountain city,Gaston County,37,71,35880,1110,440
155,3735880045,Kings Mountain city,Cleveland County,37,45,35880,10032,4443
155,3735890045,Kingstown town,Cleveland County,37,45,35890,656,271
155,3735920107,Kinston city,Lenoir County,37,107,35920,19900,10476
155,3736020181,Kittrell town,Vance County,37,181,36020,132,64
155,3736060055,Kitty Hawk town,Dare County,37,55,36060,3689,3207
155,3736080183,Knightdale town,Wake County,37,183,36080,19435,7635
155,3736220129,Kure Beach town,New Hanover County,37,129,36220,2191,2121
155,3736400107,La Grange town,Lenoir County,37,107,36400,2595,1342
155,3736480087,Lake Junaluska CDP,Haywood County,37,87,36480,3219,2018
155,3736500161,Lake Lure town,Rutherford County,37,161,36500,1365,2250
155,3736510035,Lake Norman of Catawba CDP,Catawba County,37,35,36510,8658,4548
155,3736511097,Lake Norman of Iredell CDP,Iredell County,37,97,36511,11395,4753
155,3736512179,Lake Park village,Union County,37,179,36512,3269,1254
155,3736513069,Lake Royale CDP,Franklin County,37,69,36513,3392,2489
155,3736514075,Lake Santeetlah town,Graham County,37,75,36514,38,118
155,3736640047,Lake Waccamaw town,Columbus County,37,47,36640,1296,958
155,3736860159,Landis town,Rowan County,37,159,36860,3690,1639
155,3736960009,Lansing town,Ashe County,37,9,36960,126,78
155,3737000131,Lasker town,Northampton County,37,131,37000,64,49
155,3737040045,Lattimore town,Cleveland County,37,45,37040,406,146
155,3737120165,Laurel Hill CDP,Scotland County,37,165,37120,1121,529
155,3737160089,Laurel Park town,Henderson County,37,89,37160,2250,1310
155,3737220165,Laurinburg city,Scotland County,37,165,37220,14978,6805
155,3737260045,Lawndale town,Cleveland County,37,45,37260,570,282
155,3737640065,Leggett town,Edgecombe County,37,65,37640,37,24
155,3737680019,Leland town,Brunswick County,37,19,37680,22908,10905
155,3737760027,Lenoir city,Caldwell County,37,27,37760,18352,8401
155,3738030015,Lewiston Woodville town,Bertie County,37,15,38030,426,215
155,3738040067,Lewisville town,Forsyth County,37,67,38040,13381,5485
155,3738060057,Lexington city,Davidson County,37,57,38060,19632,8906
155,3738100151,Liberty town,Randolph County,37,151,38100,2655,1209
155,3738170045,Light Oak CDP,Cleveland County,37,45,38170,697,311
155,3738200007,Lilesville town,Anson County,37,7,38200,395,189
155,3738220085,Lillington town,Harnett County,37,85,38220,4735,1504
155,3738320109,Lincolnton city,Lincoln County,37,109,38320,11091,5225
155,3738360051,Linden town,Cumberland County,37,51,38360,136,64
155,3738420011,Linville CDP,Avery County,37,11,38420,283,343
155,3738680083,Littleton town,Halifax County,37,83,38680,559,342
155,3738860025,Locust city,Cabarrus County,37,25,38860,541,198
155,3738860167,Locust city,Stanly County,37,167,38860,3996,1727
155,3739060141,Long Creek CDP,Pender County,37,141,39060,277,130
155,3739280023,Long View town,Burke County,37,23,39280,735,351
155,3739280035,Long View town,Catawba County,37,35,39280,4353,2002
155,3739360069,Louisburg town,Franklin County,37,69,39360,3064,1283
155,3739420097,Love Valley town,Iredell County,37,97,39420,154,192
155,3739480071,Lowell city,Gaston County,37,71,39480,3654,1598
155,3739520109,Lowesville CDP,Lincoln County,37,109,39520,3281,1321
155,3739540171,Lowgap CDP,Surry County,37,171,39540,267,140
155,3739600195,Lucama town,Wilson County,37,195,39600,1036,475
